src_id,src_len,syn_complexity,cnt_entity_tokens,mean_lexical_freq,cnt_vb,cnt_nn,cnt_jj,cnt_adv
0,23,112,3,0.0101161019183,3,7,3,1
1,35,156,1,0.00796838462406,6,9,2,1
2,25,71,2,0.00606091016633,4,8,1,1
3,18,53,1,0.0104988397583,2,6,2,0
4,21,50,1,0.00865468362639,4,5,1,0
5,22,64,1,0.0110389439171,2,7,2,1
6,25,146,0,0.00348443084723,5,8,3,2
7,26,75,0,0.00715756675179,3,10,1,2
8,18,56,0,0.00683064663962,1,9,1,0
9,14,49,0,0.00444112391641,1,5,2,1
10,16,62,0,0.0034668997974,4,6,2,2
11,23,99,1,0.00519405608363,3,6,5,1
12,23,69,1,0.00700671369293,1,8,6,1
13,20,55,5,0.0105860936805,2,7,0,0
14,41,209,4,0.00774144277784,6,12,2,2
15,19,48,2,0.00847115653351,3,5,1,0
16,23,61,1,0.0132954778778,3,5,1,3
17,43,205,0,0.00844328976182,5,10,9,1
18,28,81,0,0.00322431771047,5,4,4,5
19,27,95,15,0.00935703267401,3,7,2,1
20,12,35,4,0.0111707511769,2,4,2,0
21,24,64,4,0.00988713334354,5,7,4,0
22,14,37,2,0.00692183809717,2,4,2,0
23,14,33,1,0.0112783804009,2,4,2,0
24,23,78,4,0.0118053034679,4,7,3,1
25,14,34,3,0.0124288393941,1,7,0,0
26,15,44,4,0.00530802891285,2,6,2,1
