user_id,tgt_lang,en_level,hourly_rate,en_spell,en_vocab,en_skills,en_usage,en_ar_trans,fr_spell,fr_vocab,fr_usage,en_fr_trans,de_spell,de_vocab,en_de_trans,birth_country,home_country,hours_per_week,is_pro
24,ar,5.0,11.11,4.90,4.90,4.25,4.25,5.00,4.90,,,,,,,122,122,30,t
51,ar,5.0,5.00,4.90,4.40,4.60,3.75,5.00,,,,,,,,64,64,10,t
59,ar,5.0,10.00,4.25,4.00,4.75,3.10,4.90,,,,3.90,,,,222,222,105,t
75,ar,5,11.11,4.90,4.60,4.60,3.48,4.90,,,,,,,,64,64,40,t
40,ar,5,22.22,4.40,4.75,4.10,3.75,4.40,,,,,,,,64,64,70,t
77,ar,5,7.78,4.60,4.40,4.40,3.10,5.00,,,,,,,,64,64,14,t
55,ar,5.0,14.44,4.75,4.25,3.90,3.25,5.00,,,,4.40,,,,122,122,20,t
33,ar,5.0,11.11,4.90,4.60,3.75,2.60,5.00,4.40,4.10,3.75,4.40,,,,222,222,7,t
49,ar,5.0,11.11,4.60,4.00,3.60,3.00,4.90,,,,,,,,64,64,35,t
10,ar,5.0,6.67,5.00,4.75,4.10,3.90,5.00,,,,,,,,201,133,40,t
56,ar,4.0,3.00,4.75,4.90,4.10,3.75,5.00,,,,,,,,229,229,30,t
79,ar,5,16.67,3.90,4.00,4.40,4.00,4.90,,,,,,,,64,64,10,t
11,ar,5.0,3.33,5.00,4.50,3.75,3.00,5.00,,,,,,,,64,64,30,t
61,ar,5.0,11.89,3.50,4.00,4.40,3.90,4.90,,,,,,,,64,64,40,t
23,ar,5.0,11.11,4.50,3.90,4.10,3.00,5.00,4.90,4.40,4.60,4.00,,,,222,222,5,t
78,ar,5,8.89,4.75,4.60,4.50,3.10,5.00,,,,,,,,64,64,10,t
76,de,5,25.00,4.90,4.60,4.75,4.00,,,,,,4.90,4.40,4.75,231,231,35,t
4,de,5.0,15.56,4.90,4.25,4.25,3.90,,,,,,4.75,4.75,4.60,81,81,20,t
53,de,5.0,55.56,5.00,4.90,4.75,4.10,,,,,,5.00,4.90,4.90,81,81,15,t
57,de,5.0,13.33,5.00,4.40,4.50,3.75,,,,,,4.25,4.60,4.90,81,81,20,t
25,de,5.0,11.11,4.50,3.75,3.90,3.00,,,,,,4.60,5.00,4.90,211,53,15,t
60,de,5.0,16.67,4.50,4.40,3.90,3.75,,,,,,4.60,4.60,4.60,81,231,30,t
13,de,5.0,16.67,4.50,4.50,4.10,3.90,,,,,,4.40,4.75,4.40,81,81,20,t
42,de,5.0,27.78,5.00,4.75,4.90,4.40,,5.00,4.90,4.90,4.90,5.00,5.00,4.90,74,81,25,t
5,de,5.0,13.89,4.75,4.75,4.00,3.90,,,,,,5.00,4.50,4.60,181,181,20,t
35,de,5.0,15.98,4.50,4.40,4.50,3.50,,,,,,4.90,4.50,4.90,211,11,10,t
54,de,5.0,30.00,4.50,2.60,3.90,2.90,,,,,,4.75,4.40,4.90,81,216,20,t
73,de,5,11.11,5.00,4.40,4.60,4.00,,,,,,4.60,5.00,4.75,81,81,5,t
71,de,5,16.67,4.90,4.50,4.10,4.00,,,,,,4.50,4.40,4.60,231,81,10,t
72,de,5,15.00,4.75,4.60,4.75,3.90,,,,,,3.90,4.60,4.75,81,27,20,t
3,de,5.0,16.67,4.75,4.90,4.25,4.10,,,,,,4.50,4.75,4.90,182,182,25,t
15,de,5.0,22.22,5.00,4.40,4.25,3.40,,,,,,4.60,4.75,4.90,81,108,12,t
62,fr,5,16.67,5.00,4.75,4.10,4.00,,4.90,4.75,4.90,5.00,,,,74,105,30,t
19,fr,5.0,16.67,4.10,3.60,3.60,2.75,,4.75,4.60,4.40,4.50,,,,74,74,8,t
20,fr,5.0,18.89,4.75,4.75,4.50,3.60,,4.50,4.75,4.50,4.60,,,,236,231,4,t
69,fr,5,20.83,5.00,4.50,4.25,3.60,,4.50,4.60,4.90,4.90,,,,74,74,25,t
68,fr,5,22.22,4.90,4.50,4.40,3.75,,4.75,4.75,4.40,4.90,,,,230,74,6,t
7,fr,4.0,20.00,4.90,4.40,3.90,3.50,,4.90,4.60,4.40,4.60,,,,131,131,30,t
64,fr,5,16.67,4.25,4.10,4.40,3.60,,4.50,4.25,4.50,4.75,,,,74,231,15,t
67,fr,5,16.67,4.90,4.50,4.10,3.25,,4.75,4.60,4.60,4.50,,,,74,74,2,t
26,fr,5.0,10.00,4.90,4.00,4.00,3.60,5.00,4.75,4.50,4.50,4.75,,,,222,74,30,t
8,fr,5.0,22.22,4.90,4.75,4.75,4.10,,4.50,4.10,4.00,4.75,,4.10,,22,22,2,t
70,fr,5,15.56,4.50,4.10,4.60,3.40,,4.75,4.40,4.40,4.75,,,,74,108,15,t
17,fr,5.0,17.78,4.90,4.75,4.75,4.25,,4.90,5.00,4.75,4.75,,,,74,231,10,t
21,fr,5.0,11.11,5.00,4.50,3.90,3.40,4.90,4.75,4.75,4.50,4.60,,,,222,222,15,t
9,fr,5.0,11.11,5.00,4.75,4.90,4.60,,4.90,4.75,4.40,4.25,,,,231,231,3,t
65,fr,5,25.00,5.00,4.40,4.00,3.90,,4.60,4.75,4.40,4.90,,,,74,15,40,t
66,fr,5,22.22,4.6,4.1,4.25,4.00,,4.75,4.75,4.25,4.60,,,,122,74,40,t
